date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2021-06-18 04:30:00,261.0,261.0,261.0,261.0,832.0,-0.1267,261.0655,56.8892,261.0655,260.7538,261.3772
2021-06-18 04:45:00,261.0,261.0,261.0,261.0,300.0,-0.111,261.051,56.8892,261.051,260.7558,261.3462
2021-06-18 05:00:00,260.88,260.88,260.88,260.88,494.0,-0.0115,261.0495,55.233,261.0495,260.7512,261.3478
2021-06-18 05:30:00,261.0,261.0,261.0,261.0,1434.0,0.0383,261.0545,56.5641,261.0545,260.7631,261.3459
2021-06-18 06:00:00,261.0,261.0,261.0,261.0,1014.0,0.0767,261.0645,56.5641,261.0645,260.7959,261.3331
2021-06-18 06:15:00,260.9,260.9,260.9,260.9,292.0,-0.0651,261.056,55.0527,261.056,260.7781,261.3339
2021-06-18 06:30:00,260.98,260.99,260.98,260.99,1039.0,-0.0038,261.0555,56.1624,261.0555,260.7771,261.3339
2021-06-18 06:45:00,260.9,261.0,260.9,261.0,637.0,-0.0153,261.0535,56.2886,261.0535,260.7741,261.3329
2021-06-18 07:15:00,261.0,261.0,260.78,260.78,2051.0,-0.0996,261.0405,52.77,261.0405,260.7367,261.3443
2021-06-18 07:30:00,260.63,260.63,260.23,260.41,4241.0,-0.2261,261.011,47.5122,261.011,260.6011,261.4209
2021-06-18 07:45:00,260.63,260.83,260.39,260.49,9191.0,-0.1571,260.9905,48.676,260.9905,260.5234,261.4576
2021-06-18 08:00:00,260.41,260.44,260.25,260.44,3049.0,-0.1801,260.967,47.9762,260.967,260.4424,261.4916
2021-06-18 08:15:00,260.5,260.71,260.11,260.3,38088.0,-0.3026,260.9275,46.0257,260.9275,260.3317,261.5233
2021-06-18 08:30:00,260.15,260.15,258.75,259.15,566243.0,-0.7772,260.826,34.0544,260.826,259.8601,261.7919
2021-06-18 08:45:00,259.1,259.52,258.84,259.14,27263.0,-0.8456,260.7155,33.9735,260.7155,259.5333,261.8977
2021-06-18 09:00:00,259.2,259.8,259.2,259.8,10138.0,-0.4636,260.655,43.3253,260.655,259.4167,261.8933
2021-06-18 09:15:00,259.79,259.79,259.25,259.42,9207.0,-0.7271,260.56,39.9002,260.56,259.2509,261.8691
2021-06-18 09:30:00,259.53,260.95,259.36,259.48,168589.0,-0.7079,260.4675,40.6797,260.4675,259.128,261.807
2021-06-18 09:45:00,259.63,260.7792,258.75,260.65,5737125.0,-0.1991,260.4415,53.151,260.4415,259.1378,261.7452
2021-06-18 10:00:00,260.65,261.17,259.25,260.17,1325324.0,-0.318,260.4,48.7271,260.4,259.1174,261.6826
2021-06-18 10:15:00,260.18,261.26,260.015,260.92,1642572.0,-0.0307,260.396,54.901,260.396,259.1205,261.6715
2021-06-18 10:30:00,260.92,261.6,260.77,261.45,1600681.0,0.1724,260.4185,58.6085,260.4185,259.0865,261.7505
2021-06-18 10:45:00,261.44,262.3,260.655,261.82,2125106.0,0.3603,260.4655,60.9665,260.4655,259.011,261.92
2021-06-18 11:00:00,261.83,261.83,260.52,260.52,880326.0,-0.1839,260.4415,50.3566,260.4415,259.0074,261.8756
2021-06-18 11:15:00,260.52,260.88,259.61,259.74,902035.0,-0.4828,260.3785,45.3698,260.3785,258.9373,261.8197
2021-06-18 11:30:00,259.74,260.53,259.59,259.6,855699.0,-0.4983,260.3135,44.5366,260.3135,258.8551,261.7719
2021-06-18 11:45:00,259.58,260.3,259.48,259.79,789480.0,-0.4598,260.2535,45.9546,260.2535,258.8128,261.6942
2021-06-18 12:00:00,259.7775,260.09,259.53,259.98,540286.0,-0.3908,260.2025,47.3709,260.2025,258.7993,261.6057
